NumThreads,Time
21,231.250000
21,221.110000
21,613.870000
21,286.250000
21,205.810000
21,160.400000
22,175.840000
22,280.860000
22,194.760000
22,197.310000
22,213.030000
22,300.320000
22,260.010000
22,262.960000
22,213.830000
22,141.970000
23,210.020000
23,303.920000
23,180.020000
23,213.040000
23,232.660000
23,376.180000
23,215.670000
23,228.470000
23,237.280000
23,198.130000
24,175.310000
24,159.460000
24,154.760000
24,200.580000
24,433.890000
24,187.850000
24,247.220000
24,394.880000
24,315.680000
24,160.540000
25,304.810000
25,380.810000
25,563.660000
25,259.460000
25,421.800000
25,300.230000
25,222.250000
25,285.150000
25,390.730000
25,316.470000
26,280.370000
26,323.160000
26,231.910000
26,186.860000
26,241.560000
26,257.000000
26,258.450000
26,270.820000
26,237.640000
26,203.570000
27,275.690000
27,185.050000
27,322.650000
27,363.320000
27,423.740000
27,139.100000
27,250.090000
27,241.760000
27,178.630000
27,268.730000
28,225.670000
28,205.990000
28,253.200000
28,187.900000
28,190.310000
28,239.430000
28,245.370000
28,255.500000
28,234.300000
29,202.360000
29,271.930000
29,260.580000
29,181.770000
29,344.830000
29,190.960000
29,235.010000
29,266.430000
29,211.060000
29,214.890000
30,220.250000
30,153.080000
30,214.400000
30,235.260000
30,249.950000
30,367.250000
30,229.240000
30,203.800000
30,190.960000
30,222.150000
31,405.020000
31,227.990000
31,189.160000
31,209.160000
31,239.690000
31,207.860000
31,263.900000
31,208.480000
31,264.980000
31,249.100000
32,218.600000
32,207.030000
32,247.520000
32,213.050000
32,311.760000
32,205.950000
32,260.020000
32,210.030000
32,465.560000
32,213.480000
33,236.850000
33,226.230000
33,439.050000
33,181.900000
33,190.600000
33,293.750000
33,208.090000
33,280.650000
33,352.370000
33,221.750000
34,522.510000
34,309.410000
34,260.230000
34,380.330000
34,306.270000
34,297.280000
34,241.790000
34,348.110000
34,309.210000
34,287.520000
35,284.660000
35,220.120000
35,356.580000
35,204.280000
35,216.450000
35,169.030000
35,233.970000
35,325.020000
35,226.300000
35,313.840000
36,318.020000
36,201.870000
36,230.080000
36,181.350000
36,268.480000
36,322.140000
36,319.500000
36,265.540000
36,178.080000
36,188.260000
37,383.250000
37,281.740000
37,425.170000
37,448.520000
37,477.020000
37,203.840000
37,327.310000
37,461.030000
37,284.070000
37,308.740000
38,188.640000
38,226.410000
38,196.350000
38,162.400000
38,185.450000
38,206.070000
38,169.780000
38,157.520000
38,197.670000
38,207.080000
39,224.330000
39,263.100000
39,289.970000
39,187.670000
39,246.390000
39,178.900000
39,169.640000
39,180.690000
39,183.590000
39,282.300000
40,252.270000
40,189.710000
40,300.620000
40,239.900000
40,219.880000
40,233.760000
40,270.070000
40,206.480000
40,345.720000
40,358.740000
