NumNodes,NumProcessors,Time
2,3,21.233835
2,3,21.663431
2,3,24.791324
2,3,20.742507
2,4,17.976054
2,4,16.537702
2,4,16.565479
2,4,15.822316
2,4,22.451542
2,4,22.451646
2,4,20.877992
2,4,21.470661
2,4,17.628021
2,4,16.525098
2,5,13.416897
2,5,13.411971
2,5,15.671453
2,5,18.138749
2,5,15.665465
2,5,13.402335
2,5,16.827715
2,5,15.370974
2,5,14.713755
2,5,13.667516
2,6,15.300693
2,6,15.400878
2,6,16.316094
2,6,15.466625
2,6,11.437063
2,6,13.886031
2,6,16.150756
2,6,15.461856
2,6,11.434297
2,6,11.379304
2,7,10.137139
2,7,10.011299
2,7,13.901053
2,7,13.342090
2,7,14.564947
2,7,10.079690
2,7,9.968044
2,7,13.944737
2,7,10.101326
2,7,10.124492
2,8,12.860593
2,8,10.514938
2,8,12.523265
2,8,12.313589
2,8,9.427562
2,8,8.940002
2,8,12.405311
2,8,12.247290
2,8,12.402116
2,8,12.397256
2,9,8.869868
2,9,8.661923
2,9,11.116696
2,9,9.618154
2,9,9.189270
2,9,8.732071
2,9,8.687276
2,9,11.319304
2,9,11.069179
2,9,11.269274
2,10,10.049555
2,10,7.619089
2,10,9.213273
2,10,7.829504
2,10,10.001396
2,10,10.123995
2,10,9.642575
2,10,7.779534
2,10,10.435940
2,10,7.667970
2,11,9.727910
2,11,9.608446
2,11,8.286665
2,11,8.746829
2,11,9.458150
2,11,9.618666
2,11,7.527766
2,11,9.652979
2,11,7.920165
2,11,9.810919
2,12,9.311493
2,12,9.106145
2,12,8.942739
2,12,9.013757
2,12,9.034614
2,12,9.095766
2,12,9.026366
2,12,9.017172
2,12,9.967765
2,12,9.635589
3,1,40.347860
3,1,40.179061
3,1,40.179100
3,1,40.185372
3,1,40.195802
3,1,40.167412
3,1,40.156918
3,1,40.866853
3,1,40.141015
3,1,40.191095
3,2,20.778627
3,2,20.696572
3,2,20.732981
3,2,20.775000
3,2,20.744224
3,2,20.864985
3,2,21.243922
3,2,21.491400
3,2,20.796797
3,2,26.470089
3,3,14.414570
3,3,14.854984
3,3,17.216118
3,3,14.515966
3,3,14.371213
3,3,15.182430
3,3,14.277663
3,3,17.635541
3,3,14.575291
3,3,14.325104
3,4,15.609550
3,4,15.621606
3,4,15.571500
3,4,11.933365
3,4,12.534862
3,4,15.340221
3,4,14.411808
3,4,11.219400
3,4,15.730803
3,4,11.860894
3,5,10.344645
3,5,12.504244
3,5,9.612276
3,5,11.281930
3,5,12.627204
3,5,10.962666
3,5,12.699413
3,5,12.906331
3,5,12.547000
3,5,9.949425
3,6,10.786683
3,6,11.329173
3,6,10.941046
3,6,10.982858
3,6,8.100021
3,6,9.346992
3,6,10.645278
3,6,10.725327
3,6,8.204713
3,6,10.807392
3,7,7.290829
3,7,7.297861
3,7,9.268963
3,7,9.900823
3,7,9.280283
3,7,7.184343
3,7,9.709554
3,7,10.033081
3,7,9.670778
3,7,10.487973
3,8,7.611226
3,8,8.698646
3,8,9.331162
3,8,9.280156
3,8,8.560040
3,8,8.600740
3,8,6.601498
3,8,8.420550
3,8,9.284702
3,8,8.844731
3,9,8.197800
3,9,7.781650
3,9,7.902697
3,9,8.022834
3,9,7.809249
3,9,7.982864
3,9,8.359785
3,9,8.342241
3,9,7.977472
3,9,7.984039
3,10,7.053802
3,10,6.592823
3,10,7.659583
3,10,7.034157
3,10,6.108095
3,10,7.605964
3,10,7.146862
3,10,7.296110
3,10,7.620931
3,10,6.221837
3,11,6.894101
3,11,6.547484
3,11,8.021111
3,11,6.880402
3,11,7.114201
3,11,6.847531
3,11,7.231942
3,11,7.048554
3,11,7.038975
3,11,6.833976
3,12,11.991877
3,12,6.733361
3,12,6.579619
3,12,6.631183
3,12,6.335423
3,12,6.724319
3,12,6.378346
3,12,6.521705
3,12,5.490270
3,12,6.430464
5,1,24.726483
5,1,24.618419
5,1,24.626483
5,1,24.802877
5,1,24.578156
5,1,24.668179
5,1,24.579257
5,1,24.880135
5,1,24.626043
5,1,24.620733
5,2,13.158954
5,2,13.193743
5,2,13.123811
5,2,13.167359
5,2,13.119342
5,2,12.964059
5,2,18.747090
5,2,12.991155
5,2,13.232213
5,2,13.141398
5,3,11.987581
5,3,9.268842
5,3,12.644086
5,3,12.754467
5,3,12.533956
5,3,12.881150
5,3,12.893225
5,3,9.195274
5,3,12.951176
5,3,12.831127
5,4,10.115091
5,4,8.169688
5,4,9.931743
5,4,10.233901
5,4,7.376894
5,4,8.800901
5,4,7.838832
5,4,9.398637
5,4,7.540759
5,4,9.663078
5,5,7.922528
5,5,8.510087
5,5,6.459219
5,5,8.678364
5,5,6.768623
5,5,8.400421
5,5,8.323683
5,5,8.257332
5,5,8.471804
5,5,8.601752
5,6,7.349388
5,6,7.530818
5,6,7.717652
5,6,6.086999
5,6,7.385378
5,6,7.355572
5,6,7.095265
